Ительменское слово,Русское слово,Часть речи
anza-,замазать (грязью),п1
anzazo-,замазывать,п1
iɬ,кләнк,п1
əlk'si,замарашка,сущ
ənsχazo-,замачивать,п1
ənsχala-,замачивать,п1
ənsχэ-,замачивать,п1
əntxaʔnэŋэ-,замачивать,п1
kətwoltэ-,замерзать,неп
qitit-,замерзать,неп
čzэkstэ-,замечать,п1
čkzt-,замечать кого-либо,п1
simtwэn,замоина,сущ
χəlqэpaʔnoŋ,замок,сущ
iɬč-,замолчать,неп
isiŋzi-,замолчать,неп
isiŋzi-,замолчать,п1
ənqɨtitiwɨ-,замораживать,п1
xiwəs,заморозок,сущ
ənkizwakni-,замочить,п1
əmproklaw-,замочить засохшую обувь,п1
nik'izwi-,заниматься сушкой,неп
qamzantэ-,замуж выходить,неп
qamzantэt-,заниматься тушением,неп
rэtэm,замша,сущ
tэwata-,занести,п2
č'эl-,заниматься,п2
č'эli-,заниматься,п2
č'afkra-,заниматься блудом,неп
ʷnaɬэʔɬ-,заниматься выделкой шкур,неп
ratawat-,заниматься домашними делами,неп
wэtat-,заниматься к-л. делом,неп
utika-,заниматься конопачением,неп
satut-,заниматься корчевкой,неп
ŋэk'ol-,заниматься ломанием,неп
nэwnэʔɬ-,заниматься накопительством,неп
anzaʔɬst-,наговорами,неп
aɲɬэnmajaŋaʔɬ-,заниматься обманом,неп
ilalɬэl-,заниматься окоркой,неп
бэʎiʔɬ-,заниматься побелкой,неп
inxt-,заниматься поисками,неп
nik'i-,заниматься поисками,неп
soʎaʔɬ-,заниматься посолкой,неп
nэtɬqэʔɬ- noʔŋqaʔɬ-,заниматься продырявливанием,неп
inxtzuʔɬ-,поисками,неп
эč'эwi-,заниматься этим,неп
intxil,заноза,сущ
эjp'эʔn,заноза,сущ
intxэl-,занозить,п1
intxэl-,занозить(ся),неп
fjaltэ-,заносить снегом,неп
fjaltэt-,заносить снегом,неп
asʔamɬ-,заноситься,неп
wэtat,занятие,сущ
imxэs,заодно,нареч
čkɬnom,запад,сущ
əmk'əsxti-,запаршиветь,неп
zapasaʔɬ-,запасать,п1
ənkaŋɬ-,запасать впрок,п1
ənkaŋɬat-,запасать впрок,п1
zapasaʔɬ-,запасаться,неп
sэnэk,запасной желудок птицы,сущ
kɲiskə,запасной желудок травоядных,сущ
kaŋɬ-,запасы делать,неп
əʔɲɬumza-,запах распространять,п1
nirwi-,запахами пропитаться,неп
inoj,запачкаться жиром или,неп
xt-,запачкаться жиром или,неп
эlfɬэʔɬ-,заниматься разделкой туш,неп
otxpaʔɬ-,заниматься ремонтом,неп
эnaxɬ-,заниматься сбором урожая,неп
fэk'aʔɬ-,заниматься скоблением,неп
ŋisčэʔɬ-,пищей,неп
alpэ-,запереть,п1
čupэrk'э,запеченный голец,сущ
səlqapə-,запирать,п1
χəlqэp-,запирать,п1
χəlqэpэt-,запирать,п1
χəlqэp-,запираться,неп
azəmsnom,заплата,сущ
atɬэmk'anŏŋ,заплата,сущ
iɲčэnom,заплата,сущ
azamsnŏm,заплата на одежде,сущ
azəmsnom,русско-ительменский индекс,сущ
atɬэmk'anŏŋ,заплата на подошве обуви,сущ
iɲčэnom,обихода,сущ
azams-,заплаты пришивать,неп
azəmzэ-,заплаты ставить,п1
atɬэmk'a-,заплаты ставить,п1
atɬэmk'aʔɬ-,заплаты ставить,неп
otxp-,заплаты ставить,п1
tk'lot-,заплетать,п1
k'imamtэnŏŋ,заплетённая в косу,сущ
pilwist-,заплыть,неп
χэnэs,заповедь,сущ
txiɬ-,запоминать,п2
tqapэs,запор,сущ
χəlqэpaʔnoŋ,запор,сущ
mэroz,запор для гольцов,сущ
qэns,запор для корюшки,сущ
toɬwoŋ,запор для рыбной ловли,сущ
t'izэŋ,запор рыбный,сущ
xč'эs,запор рыбный,сущ
tkup,запор центральный,сущ
iɬ-,запрещать запрэтит,п1
qaʔm iti-,запрещать запрэтит,п1
quzi-,запрещать запрэтит,неп
čŋэl-,запричитать,неп
čŋэlkas,запричитать,инф неп
kəllasnal,заросли боярышника,сущ
pukkal,заросли бузины,сущ
kitxɬal,заросли ветлы,сущ
stowal,заросли кедрового стланика,сущ
ninal,заросли кипрея,сущ
nirwal,заросли конского щавеля,сущ
qazwal,заросли крапивы,сущ
ʷfizwal,заросли кустов,сущ
kskəzzal,заросли ольхи,сущ
əmč'nowal,заросли рябины,сущ
č'aal,заросли тальника,сущ
ŋэŋэzэŋ,заросли хвоща,сущ
ʷqэnэpxnal,заросли шиповника,сущ
wэlэtnom,зарплата,сущ
kəlwanŏm,зарубка,сущ
tχnu-,заряжать ружье,п1
ŋisčэʔɬ-,засалиться,неп
kəlwanŏm,засечка,сущ
kəlwa-,засечки,п1
masnən,заслон от ветра,сущ
ʷŋiksini-,заснуть,неп
χəlqэpaʔnoŋ,засов,сущ
ŋiŋik',засоня,сущ
kilwit-,запрягать,неп
kilwit- əmproklaw-,запрягать,п1 п1
kəlwэt- п1 с.,запрягать,
q'lэ-,запутаться,неп
ənk'lisxin-,запутывать,п1
k'lisxin-,запутываться,неп
imɬlaχ,запущенный,прил
fillalaχ,запущенный,прил
tэlŋэt-,запыхаться,неп
wэtat-,заработать,п1
azəmnэ-,заражаться,неп
wənaxp,заранее,нареч
ič'al,заросли,сущ
kilxal,заросли берёзы,сущ
ənkizwakni-,засохшую одежду замочить,п1
inf-,заставать,п2
iti-,заставлять,п1
itit-,заставлять,п1
ɬэntawoŋa-,заставлять,п1
nэɬ-,заставлять,п1
ənkawral-,заставлять,п1
ənpэrwэt'i-,заставлять,п1
ɬinč'эŋ-,заставлять кого-либо войти,п1
ɬink'эnэziŋ-,себе,п1
ɬinwэtat-,заставлять кого-либо работать,п1
ɬinkup-,спотыкаться,п1
ənfaqt-,заставлять перешагивать,п1
ənnakas,застать,инф
эk'ŋэ-,застревать,неп
эk'ŋэt-,застревать,неп
ɬot-,застрелить,п1
učkpэn,заступ,сущ
k'эsxk'эsx,засуха,сущ
tl-,засучивать рукава,п1
tlэt-,засучивать рукава,п1
t'эsla-,засучить рукава,п2
ʷŋiksi-,засыпать,неп
qaŋrat-,засыхать,неп
tэwata-,затащить,п2
əntxun-,затемнить,п1
əntxunala-,затемнить,п1
əntxunэt-,затемнять,п1
uwam,затока,сущ
st'watala-,затоптать,п1
st'watata-,затоптать,п1
isxəmtsэ-,затупить,п1
isxəmtsэ-,затупиться,неп
utika-,затыкать щели,п1
suč,затылок,сущ
t'la-,затягиваться,неп
t'lat-,затягиваться,неп
ak'nэ-,зацепиться,неп
ənzunom,зачатие,сущ
ӑŋqankit,зачем,мест
ӑŋqanэʔsx,зачем,мест
ximti-,зачервевать,неп
ačplэ-,зачерпывать,п1
paju-,зачерпывать,п1
ačplэ-,"зачерпывать (еду, воду)",неп
čэʔŋэla-,зачинивать,п1
ɬinmiti-,зашивать,п1
čэʔŋэla-,зашивать,п1
iɬ-,защищать защитит,п1
ɬinqn-,защищать защитит,п1
ɬinqnэt-,защищать защитит,п1
miɲɬ,заяц,сущ
miɲʎʔin,заячий,прил
čχamɬэs,званый обед,сущ
inoč'-,звать,неп
oč'-,звать,п1
oč'zo-,звать,п1
oč'эt-,звать,п1
ŋэzzэčχ,звезда,сущ
эŋэzэm,звезда,сущ
эŋэzэčχ,звезда,сущ
ŋэzэtэ-,звездами покрываться,неп
k'ŋэzэʔin,звёздный,прил
d'iŋɬiŋɬ-,звенеть колокольчиками,неп
ʷwirɲik,зверь,сущ
эč'эwi-,зверя скрадывать,п1
zwonэʔɬ-,звонить,неп
ənzlэt-,звонить,п1
ənzэl-,звонить во что-либо,п1
wun,здесь,нареч
qotɬk,здесь,нареч
nuxqэnэ,здесь,нареч
nux,здесь,нареч
ŋuʔn,здесь,нареч
tixt нареч с.,здесь,
xtaank нареч с.,здесь,
xtэank,здесь,нареч
tanʔin,здешний,прил
dorowa-,здороваться,неп
dorowa-,здороваться,п1
dorowaʔɬ-,здороваться,неп
torowaʔɬ-,здороваться,неп
tχiwlaχ,здоровый,прил
ənqэčэʔɬ-,здоровье поправлять,п1
dorowa,"здравствуй, здорово",межд
waŋaxla-,зевать,неп
txaŋɬ-,зевать,неп
txaŋɬэt-,зевать,неп
txaŋɬэt-,зевать многократно,неп
fɬa-,зеленеть,неп
fɬlaχ,зеленый,прил
ktxəm,земля,сущ
səmt,земля,сущ
zэmʎankaʔ,землянка,сущ
ktxəmra,землянка,сущ
k'iŋuxt сущ с.,землянка,
ɬtaroŋ-,землянку строить,неп
əɬčkэʔnoŋ,зеркало,сущ
zэrklačo-,зеркало смотреться,неп
zэrklačotэ-,зеркало смотреться,неп
zэrnoʔn,зерно,сущ
kank,зима,нареч
xaŋklən,зима,сущ
txastnəm,поселение,сущ
xaŋklэan,зимний,прил
zimowaʔɬ-,зимовать,неп
kank-,зимовать,неп
χaŋklэt-,зимовать,неп
kankɬnom,зимовье,сущ
kank,зимой,нареч
xaŋklэ,зимой,нареч
č'iŋzik,злая собака,сущ
ənχaqaŋэ-,злить,п1
ənχaqaŋэt-,злить,п1
χaqaɲɬ-,злиться,неп
č'iŋzəp-,злиться,неп
č'iŋstэl-,злиться,неп
č'iŋzəp,злоба,сущ
č'iŋzlaχ,злобный,прил
əmč'əmč',зловоние,сущ
kčinzʔin,злодей,сущ
qэqč'ulaχ,злой,прил
χэqэlaχ,злой,прил
č'iŋzlaχ,злой,прил
эčk'эlaχ,злой,прил
бukiska,злой дух,сущ
kilwul,злой дух,сущ
qaqaril,злой дух,сущ
sэʔlup,злой дух,сущ
unal,злой дух,сущ
χaqanwarwan,злость,сущ
č'iŋzəp,злость,сущ
ksxlэnom,знак,сущ
znakomэʔɬ-,знакомиться,неп
ksxlэnom,знамение,сущ
alwasχq,знать,сущ
xiq iɬ-,знать,п1
iɬ-,ӽаӄ,п1
činzusx,зола,сущ
ič'эč'wum,золотой корень,сущ
əɬčkunom,зрение,сущ
kunэmx,зря,нареч
č'эxč'эɬ,зря,нареч
kəpkəp,зуб,сущ
pk'in,зубной,прил
kaɬalxpэ-,зубы потерять,неп
kixplэʔɬ-,зубы потерять,неп
č'oxč'ox,зуд,сущ
samsэs,зять,сущ
эk,и,союз
kitxɬ,ива,сущ
kitxɬal,ивы заросли,сущ
sis,игла,сущ
oxp,игла деревянная,сущ
эxp,игла для вязания сетей,сущ
sč'anэŋ,для вязания сетки,сущ
sč'anэŋ,игольное ушко,сущ
maʔɬэs,игра,сущ
maʔɬ-,играть,неп
χэʔlučiʔɬ-,играть в куклы,неп
qaplu-,играть в мяч,неп
sŋačiʔɬ-,играть в прятки,неп
suqэčiʔɬ-,играть в пятнашки,неп
kowozэl-,играть на дудочке,неп
maʔjanŏŋ,игрушка,сущ
tənk'эl,игрушка,сущ
ʷk'эnэzэs,идея,сущ
itung,идол,сущ
яidač',идол,сущ
iɬ-,идти,неп
k'oɬ-,идти,неп
piki- неп с.,идти,
paŋo-,идти (о снеге),неп
tχa-,идти (о снеге),неп
insuči-,идти (о шуге по реке),неп
insi-,идти (шуга по реке),неп
č'эxэlэ-,идти на все ради чего-то,неп
lэŋazo-,идти на лыжах,неп
rosxata-,идти на нерест,неп
tχala-,идти немного,неп
čf-,идти о дожде,неп
ɬэjwo-,идти пешком,неп
sэnxʔal,из леса,нареч
sэɲčxʔal,из лесочка,нареч
kӑnnэnxʔal,из середины,нареч
čəsxʔal,"из, из-под, изнутри",нареч
ənksinom,избавление,сущ
ənksi-,избавлять,п1
txɬzo-,избивать,п1
txɬэt-,избивать,п1
talawala-,избить,п1
tmalxʔal,изблизи,нареч
k'inčilknэn,избранный,инф
ampэlanom,известие,сущ
alwa-,известностью пользоваться,неп
izwэstnoj,известный,прил
k'alwaʔan,известный,прил
sqəsxэn-,извиваться,неп
loʔləm,извилина,сущ
loʔləm,изгиб,сущ
naɬnoŋ,изгиб,сущ
loʔləm,изгиб реки,сущ
sqэns-,изгибаться,неп
ənkawral-,изгибаться,п1
бogačχ,икона,сущ
ŋilŋil,икра,сущ
ŋəlʔŋəl сущ с.,икра,
ŋilŋilsxaχ,икринка,сущ
ŋilŋil,икроножная мышца,сущ
qaʔaq,икрянка,сущ
əlk'unəŋ,ил,сущ
inknэɬ,или,союз
txэʔankэ,им,мест
χurэt,имей в виду,межд
kɬul-,именно жалеть об утрате,п1
ŋapsk'эlti-,иметь нос полный козявок,неп
či-,иметься,неп
nэksamin,изгибаться многократно туда-,прил
naɬsxэn-,сюда,неп
snəŋ,изголовье,сущ
sk-,изготавливать,п1
mэč'axʔal,издалека,нареч
t'aɬxʔal,издалека,нареч
d'эkowa-,издеваться,п1
iɬ-,хиԓивайу,п1
anэkst'ač,изжога,сущ
anэkst'aʔɬ-,изжогой страдать,неп
amamkalaχ,излишний,прил
ɬwaɬtэ-,изменить,неп
Аfčaχ,Изменная сопка,собств
ɬwaɬu,изменник,сущ
č'sxən-,изнашиваться,неп
č'sxənэt-,изнашиваться,неп
atɬxo-,износиться,неп
infɬэʔnэ-,"износиться (вещи, обувь)",неп
χəlqэp-,изнутри запираться,неп
əɲčik'irwi-,изобретать,п1
tnŭmxʔal,из-под,нареч
inxsэʔnk,изредка,нареч
əmpχэsxэn-,изрезать,п1
χэlaŋ,имя,сущ
χэlaʔɬ-,имя давать,п1
ɬwaɬk'эɬ,иначе,нареч
ɬwaɬ,иначе,нареч
tsatsəm,иней,сущ
inxsэʔnk,иногда,нареч
it'эnsčaq,иногда,нареч
ɬwaɬʔan,иной,прил
inxsэʔnk,иной раз,нареч
əlʔiɬ-,инструктировать,п1
intэrэsnoj,интересный,прил
natkawa-,искалечить кого-либо,п1
innatkawa-,искалечиться,неп
anxtzoʔɬ-,искать,неп
inxt-,искать,неп
inxt-,искать,п1
nik'i-,искать,неп
nik'i-,искать,п1
sэk'sŋэ-,искать,неп
iɲɬ-,искать вшей,п1
tolk'aʔ-,искать кимчигу,неп
эntχzu-,искать что-либо,п1
эɲčχzo- п1 с.,искать что-либо,
inxtzu-,"искать что-либо долго, усиленно",п1
amэsat-,искать что-либо среди вещей,п1
prostoj,исключительно,нареч
k'irič,искоса,нареч
xraŋ,искоса,нареч
эč'эmiŋ,искра,сущ
эč'эmэčχ,искра,сущ
sqэnsxэn-,искривлять,п1
tqэns-,искривлять,п1
tqэnsэn-,искривлять,п1
tqэnsэt-,искривлять,п1
tqэns-,искривляться,неп
pəlsxэn-,искусать,п2
ənkəmŋa-,искушать,п1
antawoŋaɬnom,искушение,сущ
kəmŋэs,искушение,сущ
k'ajməɬ-,испачкаться при еде,неп
iɬ-,исповедовать мэл,п1
čaxsaɬ-,исповедоваться,неп
čaxsaɬэs,исповедь,сущ
liɬi lэ-,исполниться,неп
ɬnэčk'эŋ-,испортить,п1
əntfkэ-,испортить,п1
ɬinmiti-,исправлять,п1
xiʔŋiŋlaχ,исправный,прил
poqɬ-,испражняться,неп
ənziŋ-,испражняться,неп
təlfɬnom,испуг,сущ
tilxɬ-,испугаться,неп
təlxɬ- неп с.,испугаться,
fčэtapɬ-,испустить дух,неп
tawuŋnom,испытание,сущ
ɬэntawoŋa-,испытывать,п1
tawoŋzo-,испытывать,п1
tawuŋ-,испытывать,п1
tawuŋэt-,испытывать,п1
ik'sxulэʔɬ-,испытывать жажду,неп
kəmŋa-,испытывать симпатию,неп
əɬčkust-,исследовать,п1
čkaɬxən,исток реки,сущ
χamtala-,истолочь,п1
k'ulэsxэn-,исцарапаться,неп
ənmэlэnom,исцеление,сущ
amэɬat-,исчезать,неп
itənmən,ительмен,сущ
silqsilq,ительменская кухня,сущ
xodilaʔn,ительменские песни,сущ
itənmənʔin,ительменский,прил
itχ,их,мест
tχiʔin,их,мест
tχiʔin,ихний,мест
Сič',Ича,собств
tmalkэ,к близкому месту,нареч
txэʔankэ,к ним,мест
kazdoj,каждый,прил
kin-kim,каждый,прил
qэmqэ,каждый,
fisx,кажется,межд
ɬuzwэn-,казаться,неп
nik'ilэʔnəŋ,кайма,сущ
akэwaʔnəm сущ с.,кайма у обуви,
akэwəm,кайма у обуви,сущ
last,как,нареч
mank нареч с.,как,
mankэ,как,нареч
qaʔtx,как будто,част
χamux,как будто,нареч
эɬaq,как будто,союз
ӑŋqaɬ,каким образом,мест
mankэnan,какой,прил
min,какой,мест
mэnkэnan прил с.,какой,
saq,какой,прил
kuniɬwin,как-то раз,нареч
kwaʔan,каменистый,прил
oʔult,каменное корыто,сущ
waʔan,каменный,прил
fačq,каменный голец,сущ
spэ,каменный пест,сущ
tqniŋ сущ с.,каменный пест,
insxul amэɬatat-,каменный скребок для шкур,сущ
ʷwapk'ol,камень,сущ
wač,камень,сущ
k'ozэsxэnэt- kof,исщипать,п1
pəlwač,камень краеугольный,сущ
oʔolt,камень крупный,сущ
zэnzol,камень плоский,сущ
luɬnəŋ,снега),сущ
kasэŋʔan,камус,сущ
pənzəŋ,камус,сущ
tэŋsэ-,каяться,неп
əntɬa-,квасить,п1
filwiltэ-,квашенная рыба,неп
stowal,кедрач,сущ
kunkun,кедровая шишка,сущ
kakač,кедровка,сущ
яdro,кедрового ореха,сущ
fifsuʔn сущ kaɬimtoŋ,кедрового ореха,сущ
wačэʔn,кедровые шишки собирать,сущ
kaɲikulaʔn,каникулы,сущ
эst-,капать,неп
эstala-,капать,неп
ŋэstk'эɬčχ,капелька,сущ
kapkan,капкан,сущ
ančxlэt-,капканы ставить,п1
ŋэstk'эɬčχ,капля,сущ
inč'эlэ-,капризничать,неп
kapusta,капуста,сущ
kzixč,капюшон,сущ
kukoniŋ,капюшон кухлянки,сущ
karandaш,карандаш,сущ
anfčoʔɬ-,караулить,неп
inju-,караулить,п1
injusxэn-,караулить,п1
inэnju-,караулить,неп
kartofэʎaʔn,картофель,сущ
čxrojk'ačχ,картофель,сущ
sŋэza-,касаться,п1
kukэč,кастрюля,сущ
ɬintxlэtzo-,катать,п1
ənkmэsэ-,катать,п1
ŋoɬkat-,кататься по льду,неп
tχlitzu-,кататься с горы,неп
ənkmэsэ-,катить,п1
kmэsi-,катиться,неп
sali-,катиться,неп
iɬχlaχ,каткий,прил
ŋoɬkэŋ,каток,сущ
ənqэlэw-,качать,п1
ənqэlэwэt-,качать,п1
qэlэ-,качаться,неп
asat,кашель,сущ
askɬ-,кашлять,неп
ʷkэjux kunэŋt-,каюр,сущ
kuɲɬэl,кедровый орех,сущ
kuɲɬэl,кедровый орешек,сущ
ʷstopk'ul,кедровый стланик,сущ
stotəm,кедровый стланик,сущ
qэk'f,кета,сущ
ʷpnэŋat-,кивать,неп
č'sxən-,кивать,неп
č'sxənэt-,кивать,неп
tkit-,кидать,п1
kəzwəs,кижуч,сущ
skan сущ с.,кижуч,
kilikil,килыкил,сущ
ɬilum,килыкил,сущ
liʔlum,килыкил смесь,сущ
lqlam,кимчига,сущ
nэxirk'at-,кимчига,неп
rəmŋэn,кимчига,сущ
toɬ-,кимчига,неп
əlqlam,кимчига,сущ
tolk'aʔ-,кимчигу искать,неп
qэjwэ-,кипеть,неп
qэjwэzo-,кипеть долго или интенсивно,неп
ninəm,кипрей,сущ
niŋt-,кипрей собирать,неп
alxpaʔɬ-,кипрей собирать в посуду,неп
kumɬxil,кипрейное лыко,сущ
ninal,кипрея заросли,сущ
alxp,кипрея стебель приготовленный,сущ
ənqэjwэ-,кипятить,п1
filwil,кислая рыба,сущ
kɬčlэč,кислая рыбья головка,сущ
filwil,кислое мясо,сущ
kɬčlaχ,кислый,прил
kʎčlatэ-,кислым отдавать,неп
t'ɬa-,киснуть,неп
juŋjučχ,кит,сущ
juŋəju,кит,сущ
ziwəs сущ с.,кишка,
siwəs,кишка,сущ
sjajolŋən,кишка,сущ
k'azwizwač,кишки,сущ
ʷpnэŋa-,кланяться,неп
t'ɬ-,кланяться,неп
эʔnwэɬ,клапан-нагрудник кухлянки,сущ
klass,класс,сущ
zuwэ-,класть,неп
zuwэ-,класть,п1
əzzu-,класть,п1
əzzut-,класть,п1
əzu- п1 с.,класть,
əzus- п1 с.,класть,
əzzu-,класть для себя,неп
paŋza-,класть за пазуху,п2
paŋzat-,класть за пазуху,п2
toktonaʔɬ-,клевать,неп
toktoŋo-,клевать,п1
toktoŋoʔɬ-,клевать(ся),неп
nэtməɲɬ-,клеить,п1
kəlwa-,клеймить,п1
əɬtq-,клеймить,п1
ijanočχ,княженика,сущ
tala-,ковать,п1
Кawral,Ковран,собств
kowčэg,ковчег,сущ
anӑs,ковш,сущ
txэla-,ковыряться,неп
it'э,когда,союз
it'э,когда-то,союз
k'э,кого,мест
k'эk'wэčχ,коготок,сущ
k'ufk'uf,коготь,сущ
k'эk'f,коготь,сущ
amsanэq,кое-как,нареч
falasxa,кое-как,нареч
kilwiɬχ,кожа (человека),сущ
xinsx,кожа рыбья,сущ
ənsx сущ с.,кожа рыбья,
čopak'э,кожаные штаны,сущ
inmэŋ,корзины,сущ
əmk'əsx,кожное заболевание,сущ
kond'эr,козырек женского капора,сущ
ŋapsk'эʔl,козявки в носу,сущ
nэwlaz,кол,сущ
upuw сущ с.,кол,
kəlwat- upэw,дистрибутивно,п1
эʎtqa-,клеймить собаку,п1
t'iɬit'iɬ,клин женского капора,сущ
č'um,меховых чулок,сущ
χэlaŋ,кличка,сущ
č'эssxэn-,клочья рвать,неп
kluб,клуб,сущ
kowos-,клубком свернуться,неп
non,клюв,сущ
kʎukwa,клюква,сущ
č'ik'məŋ,клюква,сущ
niqэʔnəŋ,ключ,сущ
Кʎučik,ключик,собств
mumkэl,потягу,сущ
kɲiga,книга,сущ
k'nəč,кол (передний) запора,сущ
wэtčinэʔ,колбаса кровяная,сущ
zizэŋ сущ с.,колено,
sэzэŋ,колено,сущ
k'эlanŏm,колесо,сущ
d'iŋʎiŋʎačχ,колокольчик коровий,сущ
d'iŋɬiŋɬ-,колокольчиками звенеть,неп
kowa-,колотить,п1
qэsq,кольев,сущ
til-,колоть,п1
tilsxэn-,колоть,п1
ənt'sxin-,колоть,п1
ankalwas,колотье,сущ
intxəlэʔɬ-,колоться,неп
qэrwэʎu,колыбальная песня,сущ
zipkэʔ,колыбель,сущ
atərwatэ-,колыхаться,неп
χэlэ-,колыхаться,неп
toŋoɬ,рыболовного запора,сущ
ʷkmэsэm,кольцо,сущ
raqlawəm,корюшки,сущ
k'intxilʔin,колючий,прил
sistxil,колючими плавниками,сущ
intxil,колючка,сущ
qэɬč'um,комар,сущ
kalŋakэrčaχ сущ с.,комбинезон,
iwu-,копить,п1
satut-,копкой долго заниматься,неп
ipэrwэ-,копотью покрыться,неп
txэla-,копошиться,неп
ʷt'i-,коптить,п1
ʷənt'i-,коптить,п1
msoŋ,копылье нарты,сущ
jajpэʔn,копыта,сущ
qajtkэl,копье,сущ
pojtəl,копье,сущ
ilal,кора,сущ
k'uxk',кора березы съедобная,сущ
ilal,кора ольховая,сущ
pŋilpŋil,корень,сущ
sэɲɬ,корень,сущ
ŋawkэračχ сущ əsk,корень,сущ
xonpэŋ,комбинезон женский,сущ
tnakol,комель бревна,сущ
χaqa,комната,сущ
piɲɬfnom,конец,сущ
liɬi,конечно,нареч
ээ,конечно,межд
utika-,конопатить,неп
utika-,конопатить,п1
nirwin,конский щавель,сущ
iэrэd,корень водяного растения,сущ
χэqum,корень медвежий,сущ
čqawom,корень медвежий,сущ
skwom,корень медовый,сущ
χuʔŋunuŋ,корень съедобный,сущ
inэmsэʔnəŋ,корзина,сущ
pэkkэčx сущ mumx,корзина,сущ
kontrol'noj,контрольный,прил
attara,конура,сущ
piɲɬf-,кончать,п1
piɲɬf-,кончать(ся),неп
piŋɬfat-,кончать(ся),неп
ɬf-,кончаться,неп
ɬfэʔnэ-,кончаться,неп
piɲɬfaʔɬ-,кончаться,неп
piŋɬfэt-,кончаться,неп
koɲa,конь,сущ
qŏsqŏs,копалка для сараны,сущ
rэŋo-,копать,п1
rэŋoʔɬ-,копать,неп
satu-,копать,неп
satu-,копать,п1
satut-,копать,неп
satut-,копать,п1
rэŋo-,копать руками,п1
rэŋoʔɬ-,копать руками,неп
iɲč'-,копать сарану,неп
tэwu-,копаться долго,неп
ŋipsxэn-,копаться долго за едой,неп
kopэjkaʔ,копейка,сущ
ač'al,корзина берестяная,сущ
č'ipsqэl,корзина плетеная травяная,сущ
č'ipsqэl,корзинка,сущ
inmэŋ,корзины ободок,сущ
k'wasχq,корка обожженная,сущ
nonom,корм,сущ
ɬinnu-,кормить,п1
ilʔэl-,кормить ребенка жвачкой,п1
ʷqэpx,кормушка нукнэн,сущ
qlitx,корнеплод,сущ
omэq,корнеплод,сущ
koɬton,коробка,сущ
χamɬχjoɬxэn,коробка,сущ
korowaʔ,корова,сущ
d'iŋʎiŋʎačχ,коровий колокольчик,сущ
ikəmt'эzэŋ,короткая щека запора,сущ
ikumpʎikэʔn,короткие торбаза,сущ
ikəmʎaχ,короткий,прил
ikəmq,коротко,нареч
ikəmčxэn,короткохвостая мышь,сущ
ikəmsэ-,короче становиться,неп
k'ulu-,кору снимать,п1
ulu-,кору снимать,п1
uluʔɬ-,кору снимать,неп
satut-,корчевать,неп
aŋqan it-,корчиться,неп
pxakč,коршун,сущ
kuritэʔ,корыто,сущ
ʷqэpx,корыто,сущ
χəmɬχjoɬxən,корыто для жира,сущ
oʔult,корыто каменное,сущ
sэɬɲiц,корыто с выступами,сущ
qawač,корюшка,сущ
ənŋaqэčχ,корюшка малая,сущ
korak,коряк,сущ
tafʎo,коряк,сущ
Кɬxitilan,коряк оседлый,сущ
kosam,коса (волосы),сущ
tk'lom,коса (волосы),сущ
t'k'lom,коса (волосы),сущ
kэʎxэn,коса (мыс),сущ
kosaʔ,орудие),сущ
tosx,коса речная,сущ
kosэʔɬ-,косить,неп
kosэʔɬ-,косить траву,неп
kosmonawt,космонавт,сущ
kosmos,космос,сущ
ujiritnom,кострище,сущ
ʷktχӑm,кость,сущ
kčk'oŋ,кость,сущ
qtχam,кость,сущ
tχam,кость,сущ
χamtala,кость дробленая,сущ
xuxula-,костяшками бить,п1
kolodaʔ,косяк дверной рамы,сущ
kukэč,котёл,сущ
tэɬnaʔ,котлета,сущ
tэɬnoj,котлета из рыбы,сущ
min,который,мест
tatʎač,коты морские,сущ
jalat-,кочевать,неп
jalwэt-,кочевать,неп
jalwэtat-,кочевать,неп
jalwatnom,кочевки место,сущ
jalwэtatnom,кочевье,сущ
kʎuka,кочерга,сущ
simq',кочка,сущ
ʷsəmk',кочка,сущ
č'ipsqэl,кошелка,сущ
koшka,кошка,сущ
qэwinəŋ,краб,сущ
pəlwač,краеугольный камень,сущ
iʔɲɬəm,край воды,сущ
qazwum,крапива,сущ
qazwal,крапивы заросли,сущ
č'inaq нареч с.,красиво,
č'inəŋ-,красиво,А
č'inəŋq,красиво,нареч
xixliŋlaχ,красивый,прил
činiŋlaχ,красивый,прил
č'inəŋlaχ,красивый,прил
anzazo-,красить,п1
krasэ-,красить,п1
kskizla-,красить что-либо ольхой,п1
anzas,краска,сущ
anzaʔnoŋ,краска,сущ
tqinsrэŋ сущ kraskaʔ,краска,сущ
ujirit,костер,сущ
ximɬx,костер,сущ
qomloqom,костный мозг,сущ
qomla-,костный мозг есть,неп
kčk'oŋ,косточка в ягодице,сущ
ksus,красная рыба,сущ
mrorotэm,красная смородина,сущ
č'ač'a-,краснеть,неп
эsx,красноватая сыпь,сущ
əɲč'ač'ala-,красное,п1
krasnoj,красный,прил
č'ač'a-,красный,А
сущ č'ač'alaχ,красный,прил
činəŋčinəŋ,красота,сущ
č'inəŋč'inəŋ,красота,сущ
činəŋʔэ-,красотой любоваться,неп
č'iri-,красть,неп
č'iri-,красть,п1
ktwэlaχ,крашеный,прил
sqэns-,крениться,неп
ičxlaχ,крепкий,прил
ktlaχ,крепкий,прил
ktaq,крепко,нареч
ʷŋiksini-,крепко спать,неп
tχzoʔŋэ-,крепко стоять,неп
