Ительменское слово,Русское слово,Часть речи
wɨбoraʔn,выборы,сущ
tkil-,выбрасывать,п1
tkillэt-,выбрасывать,п1
tkэtzo-,выбрасывать,п1
ənt'lэʔɬ-,выбрасывать,п1
ənxərkэ-,выбрасывать,п1
čэlata-,выбрать,п2
kɬf-,вываливаться,неп
sqaso-,выветриться,неп
lopləmzo-,вывихнуть,п1
lopləmzotə-,вывихнуть,п1
tl-,выворачивать наизнанку,п1
tlэt-,выворачивать наизнанку,п1
tənza-,выглядывать,неп
tənzat-,выглядывать,неп
əllat-,выговаривать слова,п1
ajtat-,выгонять,п1
ajtatэt-,выгонять,п1
oropla-,выгонять комаров из дома,п1
atxsat-,выгорать,неп
əmp-,выгружать,п1
niŋiʔɬ-,выгружать(ся),неп
ɬinqamzant-,выдавать замуж,п1
lawata-,выдать,п2
č'iraqəl,выделанная оленья кожа,сущ
aʔlot,выделение из ушей,сущ
əɬč'эrwaʔn,выделения глазные,сущ
ʷnaɬэʔɬ-,выделкой шкур заниматься,неп
naɬ-,выделывать шкуру,п1
pl-,выделывать шкуру,п1
plэʔɬ-,выделывать шкуру,неп
ɬwaɬtэ-,выделяться,неп
č'laʔ-,выдерживать,п1
widrэʔ,выдра,сущ
ŋэɬэŋɬx,выдра,сущ
əɲɬiŋ сущ с.,выдра,
ʷk'эnэzi-,выдумывать,п1
txiɬэt-,выдумывать,п2
qэčisi-,выздоравливать,неп
qэčisit-,выздоравливать,неп
mэlэ-,выздоравливать,неп
xsozalэ-,выздороветь,неп
oč'-,вызывать,п1
ɬinpanэnajpa-,на откровенность,п1
ik'sxulaχ,вызывающий жажду,прил
inэwэtэ-,выигрывать,неп
inэwэtэt-,выигрывать,неп
əɲčxča-,выигрывать,п1
tpəlzot-,выколачивать,п1
txɬэt-,выкоывать,п1
əɲč'ač'ala-,выкрасить в красное,п1
anmanom,выкройка,сущ
ɬэlэnŏm,выкройка,сущ
эs-,вылезать,неп
ənmэl-,вылечить,п1
ins-,выливать,п1
tomэt-,вылизывать,п1
č'mil-,вылизывать,п1
anza-,вымазаться,неп
anzazo-,вымазываться многократно,неп
mali-,выметать,п1
txanэ-,вымокнуть в воде,неп
ləm-,вымыть,п1
əntxs-,вынимать,п1
əntxsit-,вынимать,п1
tiŋ-,выносить,п1
tin-,выносить наружу,п1
ija-,вынырнуть,неп
kɬf-,выпадать,неп
lэʔlэmti-,выпадать,неп
anza-,выпачкать,п1
anza-,выпачкаться,неп
iɬxэɲčkэ-,выплевывать,п1
sk-,выполнять,п1
anzwa-,выправлять вывихнутый сустав,п1
twajt-,выпрыгивать,неп
ənwэtwaw-,выпрямлять,п1
wэtwэt-,выпрямляться,неп
ənksi-,выпускать,п1
ənqsit-,выпускать,п1
wэtat-,выработать,п1
ənwэtwaw-,выравнивать,п1
эsχtэ-,вырастать,неп
ənsχt-,выращивать,п1
qsi-,вырываться,неп
эnэsэ-,высаживаться,неп
č'isxuŋ-,высасывать кровь,п1
эʔŋlэt-,высекать огонь,неп
ɬinɬkzэ-,выслеживать,п1
ɬiɲɬkz-,выслеживать,п1
ɬčkust-,высматриваться,п1
ɬiŋwэju iɬ-,высмеивать,п1
ɬiŋ iɬ-,высмеивать,п1
aslaχ,высокий,прил
iʔɲɬəm,высокий берег,сущ
asq,высоко,нареч
asʔas,высокое место,сущ
twэstэwnom,обзором,сущ
asaran,высота,сущ
aswarwan,высота,сущ
asʔas,высота,сущ
nэpэlxo-,выспаться,неп
wɨstawkaʔ,выставка,сущ
tin-,выставлять,п1
əɲčqa-,выстрелить,п1
katx,высушенные стебли,сущ
ins-,высыпать,п1
əɲčxэŋ-,высыпать,п1
itnэ-,высыпаться,неп
čxiŋ-,высыпаться,неп
k'isxɬэt-,высыхать,неп
k'isxɬni-,высыхать сильно,неп
fč'эz-,вытапливать жир,п1
in-,вытапливаться,неп
txuŋ- п1 ю.,вытаскивать,
tin-,вытаскивать,п1
ənts- п1 с.,вытаскивать,
əntxs-,вытаскивать,п1
əntxsit-,вытаскивать,п1
wolwos-,выташнивать,п1
č'эl-,вытворять,п2
